frame,images_centroid_x,images_centroid_y,images_delta_x,images_delta_y,images_distance,images2_centroid_x,images2_centroid_y,images2_delta_x,images2_delta_y,images2_distance,timestamp_s
406,17,20,1,1,1.414213562,16,17,1,3,3.16227766,20.3
407,16,19,-1,-1,1.414213562,16,17,0,0,0,20.35
408,17,18,1,-1,1.414213562,16,17,0,0,0,20.4
409,16,17,-1,-1,1.414213562,17,17,1,0,1,20.45
410,15,20,-1,3,3.16227766,18,16,1,-1,1.414213562,20.5
411,15,18,0,-2,2,16,17,-2,1,2.236067977,20.55
412,15,17,0,-1,1,17,17,1,0,1,20.6
413,15,19,0,2,2,16,16,-1,-1,1.414213562,20.65
414,15,17,0,-2,2,16,17,0,1,1,20.7
415,16,17,1,0,1,15,17,-1,0,1,20.75
416,17,19,1,2,2.236067977,16,16,1,-1,1.414213562,20.8
417,16,19,-1,0,1,16,17,0,1,1,20.85
418,,,,,,16,16,0,-1,1,20.9
419,17,19,1,0,1,17,17,1,1,1.414213562,20.95
420,15,20,-2,1,2.236067977,19,16,2,-1,2.236067977,21
421,16,19,1,-1,1.414213562,15,18,-4,2,4.472135955,21.05
422,15,18,-1,-1,1.414213562,18,16,3,-2,3.605551275,21.1
423,16,19,1,1,1.414213562,18,18,0,2,2,21.15
424,15,17,-1,-2,2.236067977,17,16,-1,-2,2.236067977,21.2
425,18,18,3,1,3.16227766,17,17,0,1,1,21.25
426,17,19,-1,1,1.414213562,17,17,0,0,0,21.3
427,18,19,1,0,1,17,18,0,1,1,21.35
428,16,19,-2,0,2,17,17,0,-1,1,21.4
429,18,19,2,0,2,16,16,-1,-1,1.414213562,21.45
430,17,17,-1,-2,2.236067977,18,15,2,-1,2.236067977,21.5
431,17,17,0,0,0,18,15,0,0,0,21.55
432,17,16,0,-1,1,18,16,0,1,1,21.6
433,16,16,-1,0,1,15,15,-3,-1,3.16227766,21.65
434,16,15,0,-1,1,16,16,1,1,1.414213562,21.7
435,16,17,0,2,2,16,17,0,1,1,21.75
436,15,18,-1,1,1.414213562,18,16,2,-1,2.236067977,21.8
437,16,16,1,-2,2.236067977,15,14,-3,-2,3.605551275,21.85
438,16,18,0,2,2,15,17,0,3,3,21.9
439,17,17,1,-1,1.414213562,17,17,2,0,2,21.95
440,18,16,1,-1,1.414213562,17,15,0,-2,2,22
441,17,17,-1,1,1.414213562,17,15,0,0,0,22.05
442,15,18,-2,1,2.236067977,17,15,0,0,0,22.1
443,16,21,1,3,3.16227766,17,16,0,1,1,22.15
444,15,17,-1,-4,4.123105626,14,20,-3,4,5,22.2
